Country_Code,Country,Gold,Bronze,Silver,Total
CHN,China,1.19,5.79,3.17,3.43
MEX,Mexico,0.00,0.37,0.00,0.13
USA,United States,15.22,9.72,12.67,12.48
HUN,Hungary,3.95,2.80,1.78,2.85
GDR,East Germany,14.82,8.79,10.30,11.25
ROU,Romania,1.58,2.43,5.94,3.30
CAN,Canada,0.79,2.24,0.99,1.36
URS,Soviet Union,26.48,17.76,12.87,19.02
AUS,Australia,3.56,1.87,1.19,2.20
BUL,Bulgaria,1.98,3.18,2.77,2.65
GBR,United Kingdom,4.35,2.80,3.17,3.43
FRG,West Germany,6.32,8.22,7.33,7.31
JPN,Japan,0.79,2.43,0.59,1.29
NED,Netherlands,0.59,6.73,0.99,2.85
FRA,France,2.37,2.43,0.79,1.88
DEN,Denmark,0.59,0.56,0.20,0.45
NZL,New Zealand,0.79,2.99,0.79,1.55
ESP,Spain,0.20,0.37,0.40,0.32
CRC,Costa Rica,0.00,0.00,0.20,0.06
SWE,Sweden,0.00,2.06,0.99,1.03
POL,Poland,0.40,1.87,1.78,1.36
SUR,Suriname,0.20,0.00,0.00,0.06
ITA,Italy,2.17,1.50,1.98,1.88
YUG,Yugoslavia,2.96,3.93,5.35,4.08
KOR,"Korea, South",5.53,2.24,7.33,4.98
INA,Indonesia,0.00,0.00,0.59,0.19
TCH,Czechoslovakia,0.59,0.56,0.79,0.65
FIN,Finland,0.20,0.37,0.20,0.26
JAM,Jamaica,0.00,0.00,0.99,0.32
KEN,Kenya,0.99,0.37,0.40,0.58
BRA,Brazil,0.20,0.93,4.36,1.81
MAR,Morocco,0.20,0.37,0.00,0.19
POR,Portugal,0.20,0.00,0.00,0.06
DJI,Djibouti,0.00,0.19,0.00,0.06
SEN,Senegal,0.00,0.00,0.20,0.06
SUI,Switzerland,0.00,0.37,1.19,0.52
COL,Colombia,0.00,0.19,0.00,0.06
PHI,Philippines,0.00,0.19,0.00,0.06
PAK,Pakistan,0.00,0.19,0.00,0.06
THA,Thailand,0.00,0.19,0.00,0.06
MGL,Mongolia,0.00,0.19,0.00,0.06
NOR,Norway,0.40,0.00,4.16,1.49
AUT,Austria,0.20,0.00,0.00,0.06
BEL,Belgium,0.00,0.37,0.00,0.13
AHO,Netherlands Antilles*,0.00,0.00,0.20,0.06
ISV,Virgin Islands*,0.00,0.00,0.20,0.06
CHI,Chile,0.00,0.00,0.20,0.06
ARG,Argentina,0.00,2.24,0.20,0.84
PER,Peru,0.00,0.00,2.38,0.78
TUR,Turkey,0.20,0.00,0.20,0.13
IRI,Iran,0.00,0.00,0.20,0.06
GRE,Greece,0.00,0.19,0.00,0.06
